SUID	evidence	label	name	uri	weight	CID	Gene
505	http://cheminfov.informatics.indiana.edu/rest/Chem2Bio2RDF/cid_gene/15146830:KCNJ11	chemogenomics	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/15146830 (-) http://chem2bio2rdf.org/uniprot/resource/gene/KCNJ11	http://chem2bio2rdf.org/chemogenomics/resource/chemogenomics	1.87E-06	15146830	KCNJ11
506	http://cheminfov.informatics.indiana.edu/rest/Chem2Bio2RDF/cid_gene/15146830:KCNJ11	chemogenomics	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/15146830 (-) http://chem2bio2rdf.org/uniprot/resource/gene/KCNJ11	http://chem2bio2rdf.org/chemogenomics/resource/chemogenomics	8.23E-06	15146830	KCNJ11
507	http://cheminfov.informatics.indiana.edu/rest/Chem2Bio2RDF/cid_gene/15146830:ABCC9	chemogenomics	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/15146830 (-) http://chem2bio2rdf.org/uniprot/resource/gene/ABCC9	http://chem2bio2rdf.org/chemogenomics/resource/chemogenomics	2.28E-06	15146830	ABCC9
508	http://cheminfov.informatics.indiana.edu/rest/Chem2Bio2RDF/cid_gene/15146830:KCNJ11	chemogenomics	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/15146830 (-) http://chem2bio2rdf.org/uniprot/resource/gene/KCNJ11	http://chem2bio2rdf.org/chemogenomics/resource/chemogenomics	8.23E-06	15146830	KCNJ11
509	http://cheminfov.informatics.indiana.edu/rest/Chem2Bio2RDF/cid_gene/15146830:KCNJ11	chemogenomics	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/15146830 (-) http://chem2bio2rdf.org/uniprot/resource/gene/KCNJ11	http://chem2bio2rdf.org/chemogenomics/resource/chemogenomics	1.87E-06	15146830	KCNJ11
510	http://cheminfov.informatics.indiana.edu/rest/Chem2Bio2RDF/cid_gene/15146830:ABCC9	chemogenomics	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/15146830 (-) http://chem2bio2rdf.org/uniprot/resource/gene/ABCC9	http://chem2bio2rdf.org/chemogenomics/resource/chemogenomics	9.91E-06	15146830	ABCC9
511		hprd	http://chem2bio2rdf.org/uniprot/resource/gene/LDHA (-) http://chem2bio2rdf.org/uniprot/resource/gene/KCNJ11	http://chem2bio2rdf.org/hprd	0.006224791023		
512		hprd	http://chem2bio2rdf.org/uniprot/resource/gene/LDHA (-) http://chem2bio2rdf.org/uniprot/resource/gene/KCNJ11	http://chem2bio2rdf.org/hprd	0.01254741784		
513		hprd	http://chem2bio2rdf.org/uniprot/resource/gene/LDHA (-) http://chem2bio2rdf.org/uniprot/resource/gene/ABCC9	http://chem2bio2rdf.org/hprd	0.006839009708		
514		hprd	http://chem2bio2rdf.org/uniprot/resource/gene/LDHA (-) http://chem2bio2rdf.org/uniprot/resource/gene/KCNJ11	http://chem2bio2rdf.org/hprd	0.01254741784		
515		hprd	http://chem2bio2rdf.org/uniprot/resource/gene/LDHA (-) http://chem2bio2rdf.org/uniprot/resource/gene/KCNJ11	http://chem2bio2rdf.org/hprd	0.006224791023		
516		hprd	http://chem2bio2rdf.org/uniprot/resource/gene/LDHA (-) http://chem2bio2rdf.org/uniprot/resource/gene/ABCC9	http://chem2bio2rdf.org/hprd	0.01367759431		
517	http://cheminfov.informatics.indiana.edu/rest/Chem2Bio2RDF/cid_gene/10810351:KCNJ11	chemogenomics	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10810351 (-) http://chem2bio2rdf.org/uniprot/resource/gene/KCNJ11	http://chem2bio2rdf.org/chemogenomics/resource/chemogenomics	2.94E-06	10810351	KCNJ11
518	http://cheminfov.informatics.indiana.edu/rest/Chem2Bio2RDF/cid_gene/10810351:KCNJ8	chemogenomics	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10810351 (-) http://chem2bio2rdf.org/uniprot/resource/gene/KCNJ8	http://chem2bio2rdf.org/chemogenomics/resource/chemogenomics	6.71E-06	10810351	KCNJ8
519	http://cheminfov.informatics.indiana.edu/rest/Chem2Bio2RDF/cid_gene/10810351:KCNJ11	chemogenomics	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10810351 (-) http://chem2bio2rdf.org/uniprot/resource/gene/KCNJ11	http://chem2bio2rdf.org/chemogenomics/resource/chemogenomics	1.26E-05	10810351	KCNJ11
