SUID	childnodes	class	label	name	Gene
62	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/9904387 http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10021137 http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/15728624 http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/15728622 http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/15728623 http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/43345 http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10500969 http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/3050782 http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/195544	pubchem_compound	15146830(9)	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/15146830	
63		gene	LDHA	http://chem2bio2rdf.org/uniprot/resource/gene/LDHA	LDHA
64		pubchem_compound	10810351	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10810351	
65		pubchem_compound	65981	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/65981	
66		pubchem_compound	4397986	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/4397986	
67		pubchem_compound	5240098	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/5240098	
68		gene	KCND3	http://chem2bio2rdf.org/uniprot/resource/gene/KCND3	KCND3
69		pubchem_compound	10620857	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10620857	
70		pubchem_compound	10500343	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10500343	
71		pubchem_compound	44361253	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/44361253	
72		pubchem_compound	10045948	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10045948	
73		pubchem_compound	3478	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/3478	
74		pubchem_compound	9862760	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/9862760	
75		gene	KCNJ11	http://chem2bio2rdf.org/uniprot/resource/gene/KCNJ11	KCNJ11
76		pubchem_compound	44361142	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/44361142	
77		pubchem_compound	3476	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/3476	
78		pubchem_compound	10644163	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10644163	
79		pubchem_compound	3033825	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/3033825	
80		pubchem_compound	10431921	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10431921	
81		pubchem_compound	10522137	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10522137	
82		pubchem_compound	9947948	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/9947948	
83		pubchem_compound	10760503	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10760503	
84		pubchem_compound	10738538	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10738538	
85		pubchem_compound	3488	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/3488	
86		pubchem_compound	10022595	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10022595	
87		pubchem_compound	44293670	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/44293670	
88		pubchem_compound	21183546	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/21183546	
89		pubchem_compound	10834988	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10834988	
90		pubchem_compound	10690586	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10690586	
91	http://chem2bio2rdf.org/sider/resource/sider/C0162566	sider	C0032708(1)	http://chem2bio2rdf.org/sider/resource/sider/C0032708	
92		pubchem_compound	10787333	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10787333	
93		pubchem_compound	10341099	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10341099	
94		pubchem_compound	9930941	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/9930941	
